task,dataset,alm,N,ACC,P_macro,R_macro,F1_macro,ACC_CONSISTENT,ACC_INCONSISTENT
consistency,AfriSpeech-200,AudioFlamingo2,206,0.6019417475728155,0.6492753623188405,0.6019417475728156,0.5676699426699428,0.32038834951456313,0.883495145631068
consistency,AfriSpeech-200,AudioFlamingo3,206,0.5,0.25,0.5,0.3333333333333333,0.0,1.0
consistency,AfriSpeech-200,AudioFlamingo3Think,206,0.5,0.25,0.5,0.3333333333333333,0.0,1.0
consistency,AfriSpeech-200,GAMA,206,0.25728155339805825,0.7802197802197802,0.25728155339805825,0.2819342169857634,0.49514563106796117,0.019417475728155338
consistency,AfriSpeech-200,Kimi,206,0.8300970873786407,0.8544534412955465,0.8300970873786409,0.8271273407341693,0.6990291262135923,0.9611650485436893
consistency,AfriSpeech-200,Qwen2.5Omni,206,0.7135922330097088,0.8179012345679013,0.7135922330097088,0.6879989731741754,1.0,0.42718446601941745
consistency,AfriSpeech-200,Qwen2AudioInstruct,206,0.8446601941747572,0.845180779760219,0.8446601941747572,0.8446016030174446,0.8640776699029126,0.8252427184466019
consistency,AfriSpeech-200,SALMONN,206,0.7378640776699029,0.7393077287814129,0.7378640776699029,0.7374681393372982,0.7766990291262136,0.6990291262135923
consistency,AfriSpeech-General,AudioFlamingo2,116,0.8793103448275862,0.9021739130434783,0.8793103448275862,0.881511205330103,0.7758620689655172,0.9827586206896551
consistency,AfriSpeech-General,AudioFlamingo3,116,0.5,0.25,0.5,0.3333333333333333,0.0,1.0
consistency,AfriSpeech-General,AudioFlamingo3Think,116,0.5,0.25892857142857145,0.5,0.3411764705882353,0.0,1.0
consistency,AfriSpeech-General,GAMA,116,0.27586206896551724,0.868421052631579,0.27586206896551724,0.35618279569892475,0.4827586206896552,0.06896551724137931
consistency,AfriSpeech-General,Kimi,116,0.8189655172413793,0.8418286078368907,0.8189655172413793,0.8158869322046709,0.6896551724137931,0.9482758620689655
consistency,AfriSpeech-General,Qwen2.5Omni,116,0.9137931034482759,0.9264705882352942,0.9137931034482758,0.9131476489967056,1.0,0.8275862068965517
consistency,AfriSpeech-General,Qwen2AudioInstruct,116,0.8275862068965517,0.8625,0.8275862068965517,0.8233323180018276,0.6724137931034483,0.9827586206896551
consistency,AfriSpeech-General,SALMONN,116,0.9051724137931034,0.9052928932500743,0.9051724137931034,0.9051653660349313,0.896551724137931,0.9137931034482759
consistency,Medical,AudioFlamingo2,80,0.8125,0.8174603174603174,0.8125,0.8117647058823529,0.75,0.875
consistency,Medical,AudioFlamingo3,80,0.5,0.25,0.5,0.3333333333333333,0.0,1.0
consistency,Medical,AudioFlamingo3Think,80,0.5,0.25,0.5,0.3333333333333333,0.0,1.0
consistency,Medical,GAMA,80,0.35,0.7428571428571429,0.35000000000000003,0.4209929078014184,0.55,0.15
consistency,Medical,Kimi,80,0.7375,0.8278688524590163,0.7375,0.7180735022654807,0.475,1.0
consistency,Medical,Qwen2.5Omni,80,0.725,0.8225806451612903,0.725,0.7025016903313049,1.0,0.45
consistency,Medical,Qwen2AudioInstruct,80,0.7625,0.7639849151477058,0.7625,0.7621655452980755,0.725,0.8
consistency,Medical,SALMONN,80,0.775,0.7756892230576441,0.775,0.7748592870544091,0.8,0.75
