variant,model,dataset,shot,N,ACC,P_macro,R_macro,F1_macro,EACC,NACC,CACC,unparseable_rate,parseable_ACC
audio_only,af2,afri200,1,300,0.3433333333333333,0.6995305164319249,0.3433333333333333,0.19770642929677584,0.03,0.99,0.01,0.03666666666666667,0.356401384083045
audio_only,af2,afri200,3,300,0.33666666666666667,0.44671201814058953,0.33666666666666667,0.1758053977986631,0.0,1.0,0.01,0.016666666666666666,0.3423728813559322
audio_only,af2,afri200,5,300,0.3333333333333333,0.11337868480725623,0.3333333333333333,0.1692047377326565,0.0,1.0,0.0,0.02,0.3401360544217687
audio_only,af2,afri200,7,300,0.32,0.45466155810983394,0.32,0.18203925655723466,0.0,0.95,0.01,0.12666666666666668,0.366412213740458
audio_only,af2,afri200,10,300,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,1.0,0.0,0.0,0.0,0.3333333333333333
audio_only,af2,medical,1,193,0.27461139896373055,0.5202020202020202,0.2845509893455099,0.23578042328042328,0.136986301369863,0.7,0.016666666666666666,0.24352331606217617,0.363013698630137
audio_only,af2,medical,3,193,0.2849740932642487,0.1053639846743295,0.3055555555555555,0.15669515669515668,0.0,0.9166666666666666,0.0,0.09844559585492228,0.3160919540229885
audio_only,af2,medical,5,193,0.2849740932642487,0.1053639846743295,0.3055555555555555,0.15669515669515668,0.0,0.9166666666666666,0.0,0.09844559585492228,0.3160919540229885
audio_only,af2,medical,7,193,0.37823834196891193,0.12607944732297063,0.3333333333333333,0.1829573934837093,1.0,0.0,0.0,0.0,0.37823834196891193
audio_only,af2,medical,10,193,0.37823834196891193,0.12607944732297063,0.3333333333333333,0.1829573934837093,1.0,0.0,0.0,0.0,0.37823834196891193
audio_only,af3,afri200,1,300,0.62,0.6307332419133661,0.62,0.6244829244829245,0.53,0.53,0.8,0.0,0.62
audio_only,af3,afri200,3,300,0.6233333333333333,0.6324476823493138,0.6233333333333334,0.5989068681977381,0.88,0.22,0.77,0.0,0.6233333333333333
audio_only,af3,afri200,5,300,0.63,0.6187707420682331,0.63,0.5963412787930285,0.86,0.19,0.84,0.0,0.63
audio_only,af3,afri200,7,300,0.6333333333333333,0.6316197964230165,0.6333333333333334,0.5988604582688266,0.9,0.19,0.81,0.0,0.6333333333333333
audio_only,af3,afri200,10,300,0.64,0.6595040464826728,0.64,0.6254698422781979,0.88,0.3,0.74,0.0,0.64
audio_only,af3,medical,1,193,0.5699481865284974,0.6014063556457065,0.5754946727549467,0.5790263785525697,0.4931506849315068,0.6,0.6333333333333333,0.0,0.5699481865284974
audio_only,af3,medical,3,193,0.5492227979274611,0.6212962255663349,0.5275494672754947,0.5269267129853308,0.8493150684931506,0.31666666666666665,0.4166666666666667,0.0,0.5492227979274611
audio_only,af3,medical,5,193,0.5284974093264249,0.5467159277504106,0.5063165905631659,0.49710769297972607,0.8356164383561644,0.2,0.48333333333333334,0.0,0.5284974093264249
audio_only,af3,medical,7,193,0.5129533678756477,0.5839163042793218,0.48964992389649925,0.48557695592465305,0.8356164383561644,0.18333333333333332,0.45,0.0,0.5129533678756477
audio_only,af3,medical,10,193,0.5958549222797928,0.662769378184398,0.5706240487062405,0.562987323372372,0.9452054794520548,0.35,0.4166666666666667,0.0,0.5958549222797928
audio_only,kimi,afri200,1,300,0.6033333333333334,0.6716915746155512,0.6033333333333334,0.504598301879041,0.86,0.04,0.91,0.0,0.6033333333333334
audio_only,kimi,afri200,3,300,0.6133333333333333,0.6047653796349952,0.6133333333333334,0.5206604048347168,0.89,0.05,0.9,0.0,0.6133333333333333
audio_only,kimi,afri200,5,300,0.5966666666666667,0.569073083778966,0.5966666666666667,0.5050127593835054,0.84,0.05,0.9,0.0,0.5966666666666667
audio_only,kimi,afri200,7,300,0.6166666666666667,0.6174462579617834,0.6166666666666667,0.5387486507957707,0.85,0.09,0.91,0.0,0.6166666666666667
audio_only,kimi,afri200,10,300,0.61,0.606463698589434,0.61,0.5247857957001926,0.85,0.07,0.91,0.0,0.61
audio_only,kimi,medical,1,193,0.5958549222797928,0.6272397971504468,0.5904109589041097,0.5217257730581714,0.6712328767123288,0.11666666666666667,0.9833333333333333,0.0,0.5958549222797928
audio_only,kimi,medical,3,193,0.5958549222797928,0.7647262647262648,0.56765601217656,0.523591876533053,0.9863013698630136,0.08333333333333333,0.6333333333333333,0.0,0.5958549222797928
audio_only,kimi,medical,5,193,0.6528497409326425,0.7522776787482671,0.6297564687975646,0.5868154474729236,0.9726027397260274,0.11666666666666667,0.8,0.0051813471502590676,0.65625
audio_only,kimi,medical,7,193,0.6424870466321243,0.7073566268612708,0.6186453576864536,0.5700267595582075,0.9726027397260274,0.1,0.7833333333333333,0.0,0.6424870466321243
audio_only,kimi,medical,10,193,0.6476683937823834,0.7253629810133009,0.6232115677321156,0.5798962903869166,0.9863013698630136,0.11666666666666667,0.7666666666666667,0.0,0.6476683937823834
audio_only,qwen2audio,afri200,1,300,0.6633333333333333,0.6802347253771334,0.6633333333333334,0.6678871485465813,0.52,0.68,0.79,0.016666666666666666,0.6745762711864407
audio_only,qwen2audio,afri200,3,300,0.5233333333333333,0.548951387513479,0.5233333333333333,0.5054600641156811,0.74,0.18,0.65,0.016666666666666666,0.5322033898305085
audio_only,qwen2audio,afri200,5,300,0.5466666666666666,0.5568500785327051,0.5466666666666667,0.5145175823668038,0.77,0.14,0.73,0.013333333333333334,0.5540540540540541
audio_only,qwen2audio,afri200,7,300,0.5666666666666667,0.5775855074264143,0.5666666666666668,0.5403781170680807,0.8,0.17,0.73,0.016666666666666666,0.576271186440678
audio_only,qwen2audio,afri200,10,300,0.56,0.5730138209129806,0.5599999999999999,0.5386899363340931,0.71,0.18,0.79,0.04,0.5833333333333334
