variant,model,dataset,N,ACC,P_macro,R_macro,F1_macro,EACC,NACC,CACC,unparseable_rate,parseable_ACC
audio_only,af2,afri200,1500,0.3333333333333333,0.5621883758380948,0.3333333333333333,0.2502315978537099,0.206,0.788,0.006,0.04,0.3472222222222222
audio_only,af3,afri200,1500,0.6293333333333333,0.6364823348694316,0.6293333333333334,0.6153188723699475,0.81,0.286,0.792,0.0,0.6293333333333333
audio_only,kimi,afri200,1500,0.608,0.6070963590307149,0.608,0.5189592850464013,0.858,0.06,0.906,0.0,0.608
audio_only,qwen2audio,afri200,1500,0.572,0.5925161735324899,0.572,0.56397118430621,0.708,0.27,0.738,0.020666666666666667,0.584070796460177
audio_only,af2,medical,965,0.32020725388601035,0.34764903442485307,0.31246575342465754,0.26859768956907804,0.4273972602739726,0.5066666666666667,0.0033333333333333335,0.08808290155440414,0.35113636363636364
audio_only,af3,medical,965,0.5512953367875648,0.5964372009905078,0.5339269406392694,0.5376795627241582,0.7917808219178082,0.33,0.48,0.0,0.5512953367875648
audio_only,kimi,medical,965,0.6269430051813472,0.6925778526748813,0.6059360730593607,0.5551684429429712,0.9178082191780822,0.10666666666666667,0.7933333333333333,0.0010362694300518134,0.6275933609958506
audio_only,qwen2audio,medical,965,0.48497409326424873,0.541159115063914,0.46004566210045666,0.44481061603780003,0.8301369863013699,0.24,0.31,0.011398963730569948,0.49056603773584906
audio_plus_transcript,af2,afri200,1500,0.3273333333333333,0.5680121858339681,0.3273333333333333,0.273418526118348,0.412,0.568,0.002,0.07533333333333334,0.35400144196106703
audio_plus_transcript,af3,afri200,1500,0.648,0.6411322255725507,0.648,0.629842229938078,0.736,0.34,0.868,0.0,0.648
audio_plus_transcript,kimi,afri200,1500,0.6166666666666667,0.626178810901033,0.6166666666666667,0.5361453768604209,0.866,0.082,0.902,0.0,0.6166666666666667
audio_plus_transcript,qwen2audio,afri200,1500,0.5706666666666667,0.5816214703635104,0.5706666666666667,0.5629658859819147,0.62,0.302,0.79,0.024,0.5846994535519126
audio_plus_transcript,af2,medical,965,0.30984455958549223,0.5533531803194724,0.2878995433789954,0.24641546444348025,0.6136986301369863,0.24666666666666667,0.0033333333333333335,0.11606217616580311,0.3505275498241501
audio_plus_transcript,af3,medical,965,0.5772020725388601,0.5867923597341559,0.5735768645357686,0.5792675148442501,0.6273972602739726,0.45,0.6433333333333333,0.008290155440414507,0.5820271682340648
audio_plus_transcript,kimi,medical,965,0.6414507772020726,0.6773330118157704,0.619117199391172,0.5695083392772933,0.9506849315068493,0.10666666666666667,0.8,0.0,0.6414507772020726
audio_plus_transcript,qwen2audio,medical,965,0.49430051813471504,0.5264967357953957,0.4769710806697108,0.47588889532867173,0.7342465753424657,0.3566666666666667,0.34,0.017616580310880828,0.5031645569620253
