task,dataset,alm,N,ACC,P_macro,R_macro,F1_macro,ACC_PLAUSIBLE,ACC_IMPLAUSIBLE
plausibility,AfriSpeech-200,AudioFlamingo2,205,0.25853658536585367,0.2548076923076923,0.25728155339805825,0.2560386473429952,0.5145631067961165,0.0
plausibility,AfriSpeech-200,AudioFlamingo3,205,0.9512195121951219,0.9519835971771886,0.9511231677136874,0.9511904761904761,0.970873786407767,0.9313725490196079
plausibility,AfriSpeech-200,AudioFlamingo3Think,205,0.7268292682926829,0.8264050764050764,0.7258233390443556,0.7299874921826142,0.9320388349514563,0.5196078431372549
plausibility,AfriSpeech-200,GAMA,205,0.43902439024390244,0.8211382113821138,0.4374167142585189,0.4469026548672566,0.7669902912621359,0.10784313725490197
plausibility,AfriSpeech-200,Kimi,205,0.6926829268292682,0.7878317334839073,0.6940795735770036,0.665942422596415,0.4077669902912621,0.9803921568627451
plausibility,AfriSpeech-200,Qwen2.5Omni,205,0.8292682926829268,0.8722627737226277,0.8300970873786409,0.8244390613912745,0.6601941747572816,1.0
plausibility,AfriSpeech-200,Qwen2AudioInstruct,205,0.8146341463414634,0.8722365615531366,0.8154863887302495,0.8180225281602003,0.6407766990291263,0.9901960784313726
plausibility,AfriSpeech-200,SALMONN,205,0.6439024390243903,0.7629858961128311,0.6455358842566152,0.5998770086361327,0.3106796116504854,0.9803921568627451
plausibility,AfriSpeech-General,AudioFlamingo2,116,0.3706896551724138,0.25903614457831325,0.3706896551724138,0.3049645390070922,0.7413793103448276,0.0
plausibility,AfriSpeech-General,AudioFlamingo3,116,0.9137931034482759,0.9551656920077972,0.9137931034482758,0.9338509316770187,0.9310344827586207,0.896551724137931
plausibility,AfriSpeech-General,AudioFlamingo3Think,116,0.5086206896551724,0.8481481481481481,0.5086206896551724,0.6262707024557397,0.5689655172413793,0.4482758620689655
plausibility,AfriSpeech-General,GAMA,116,0.47413793103448276,0.8596866096866097,0.47413793103448276,0.5529426559356136,0.7413793103448276,0.20689655172413793
plausibility,AfriSpeech-General,Kimi,116,0.8103448275862069,0.9194444444444444,0.8103448275862069,0.8505650193961882,0.9655172413793104,0.6551724137931034
plausibility,AfriSpeech-General,Qwen2.5Omni,116,0.9568965517241379,0.9570324115373179,0.9568965517241379,0.956893348197696,0.9482758620689655,0.9655172413793104
plausibility,AfriSpeech-General,Qwen2AudioInstruct,116,0.8103448275862069,0.8523220848646842,0.8103448275862069,0.8137867221836688,0.6724137931034483,0.9482758620689655
plausibility,AfriSpeech-General,SALMONN,116,0.6724137931034483,0.8020833333333333,0.6724137931034483,0.633033633033633,0.3448275862068966,1.0
plausibility,Medical,AudioFlamingo2,80,0.4625,0.26811594202898553,0.4625,0.3394495412844037,0.925,0.0
plausibility,Medical,AudioFlamingo3,80,0.95,0.975,0.95,0.9621794871794871,0.95,0.95
plausibility,Medical,AudioFlamingo3Think,80,0.3375,0.796875,0.3375,0.4305555555555556,0.475,0.2
plausibility,Medical,GAMA,80,0.475,0.8363636363636364,0.47500000000000003,0.41386392811296535,0.925,0.025
plausibility,Medical,Kimi,80,0.9125,0.9479729729729729,0.9125,0.9295454545454545,0.95,0.875
plausibility,Medical,Qwen2.5Omni,80,0.925,0.9347826086956521,0.925,0.9245757385292269,0.85,1.0
plausibility,Medical,Qwen2AudioInstruct,80,0.6875,0.8076923076923077,0.6875,0.6536796536796536,0.375,1.0
plausibility,Medical,SALMONN,80,0.6375,0.7898550724637681,0.6375,0.5826587515740241,0.275,1.0
